time,diversity,concentration
121,0.8859803203984784,0.18284937177024524
122,0.88509434007808,0.18376361862909646
123,0.8842092457380019,0.1846824367222419
124,0.8833250364922639,0.1856058489058531
125,0.8824417114557717,0.18653387815038236
126,0.8815592697443159,0.18746654754113426
127,0.8806777104745716,0.18840388027883992
128,0.8797970327640969,0.1893458996802341
129,0.8789172357313328,0.19029262917863526
130,0.8780383184956015,0.1912440923245284
131,0.8771602801771059,0.19220031278615102
132,0.8762831198969288,0.19316131435008174
133,0.8754068367770318,0.19412712092183212
134,0.8745314299402548,0.19509775652644126
135,0.8736568985103146,0.19607324530907344
136,0.8727832416118043,0.1970536115356188
137,0.8719104583701925,0.19803887959329686
138,0.8710385479118223,0.19902907399126332
139,0.8701675093639105,0.2000242193612196
140,0.8692973418545467,0.2010243404580257
141,0.8684280445126921,0.2020294621603158
142,0.8675596164681794,0.20303960947111738
143,0.8666920568517111,0.20405480751847294
144,0.8658253647948594,0.20507508155606527
145,0.8649595394300645,0.20610045696384557
146,0.8640945798906344,0.2071309592486648
147,0.8632304853107438,0.20816661404490808
148,0.862367254825433,0.2092074471151326
149,0.8615048875706075,0.21025348435070823
